02000001FABIO ARAUJO                  00941178519
01000002FERNANDA CASTRO               00806219117
01000003RICARDO BRAGA                 00173146144
02000004LUIZ FERNANDO                 00206074930
02000005PAULA FREITAS                 00311527451
01000006GUSTAVO RIBEIRO               00545092636
01000007MARCELA DIAS                  00356294591
02000008PAULA FREITAS                 00771472064
02000009RICARDO BRAGA                 00707789845
01000010LUIZ FERNANDO                 00679129455
01000011PEDRO HENRIQUE                00442904218
02000012JOAO DA SILVA                 00944824092
01000013LUIZ FERNANDO                 00456385892
02000014JOAO DA SILVA                 00735772160
01000015LUIZ FERNANDO                 00899589770
02000016RICARDO BRAGA                 00863099842
02000017DANIELA SOUZA                 00652097516
01000018CARLOS PEREIRA                00557169084
02000019CARLOS PEREIRA                00561631813
02000020ANA LIMA                      00849203103
01000021NATALIA MENEZES               00572874131
02000022FERNANDA CASTRO               00579156829
01000023ANA LIMA                      00242911900
02000024PAULA FREITAS                 00449450141
02000025RICARDO BRAGA                 00386179961
02000026JULIANA MATTOS                00386694623
01000027ROBERTO MOURA                 00566945093
01000028GUSTAVO RIBEIRO               00266025109
02000029GUSTAVO RIBEIRO               00061525437
01000030JOAO DA SILVA                 00898424505
01000031CARLOS PEREIRA                00504128906
01000032ANA LIMA                      00198970943
01000033JOAO DA SILVA                 00627305766
01000034PEDRO HENRIQUE                00075924180
02000035JOAO DA SILVA                 00545229941
01000036FERNANDA CASTRO               00436050073
01000037NATALIA MENEZES               00403025322
02000038JOAO DA SILVA                 00235903672
01000039MARCELA DIAS                  00303014562
02000040PEDRO HENRIQUE                00134132065
01000041PAULA FREITAS                 00741942618
01000042VIVIANE TEIXEIRA              00164173695
01000043ANDRE COSTA                   00363199509
02000044ANDRE COSTA                   00642771819
01000045MARCELA DIAS                  00605452320
01000046ANDRE COSTA                   00237766090
01000047RICARDO BRAGA                 00303394483
02000048NATALIA MENEZES               00553811302
01000049FERNANDA CASTRO               00799191878
01000050TATIANA ALMEIDA               00290581471
02000051PAULA FREITAS                 00315540221
02000052PAULA FREITAS                 00572750647
01000053BRUNO LIMA                    00597947272
02000054ANDRE COSTA                   00583811119
02000055PEDRO HENRIQUE                00829127316
01000056GUSTAVO RIBEIRO               00495005110
01000057RICARDO BRAGA                 00308707998
01000058PEDRO HENRIQUE                00178612938
01000059BRUNO LIMA                    00215802267
01000060RICARDO BRAGA                 00540013816
01000061JULIANA MATTOS                00520582105
01000062TATIANA ALMEIDA               00906905303
02000063MARCELA DIAS                  00789989209
02000064MARCELA DIAS                  00966737922
02000065FERNANDA CASTRO               00076850167
01000066DANIELA SOUZA                 00324356444
01000067MARIA OLIVEIRA                00246720073
01000068GUSTAVO RIBEIRO               00081502878
01000069ROBERTO MOURA                 00198654094
01000070MARIA OLIVEIRA                00801858000
01000071ANDRE COSTA                   00757487877
02000072ROBERTO MOURA                 00378006829
02000073RICARDO BRAGA                 00489011075
02000074JULIANA MATTOS                00082057525
02000075PAULA FREITAS                 00931642901
02000076NATALIA MENEZES               00748882313
02000077RICARDO BRAGA                 00912116676
01000078BRUNO LIMA                    00704438448
01000079FERNANDA CASTRO               00195403820
02000080PAULA FREITAS                 00599445906
02000081FABIO ARAUJO                  00996196951
02000082DANIELA SOUZA                 00597228893
02000083RICARDO BRAGA                 00914003706
01000084CARLOS PEREIRA                00183135139
01000085PEDRO HENRIQUE                00086326735
02000086PEDRO HENRIQUE                00285491646
01000087FABIO ARAUJO                  00661681263
02000088NATALIA MENEZES               00051036283
01000089LUIZ FERNANDO                 00118944938
02000090JOAO DA SILVA                 00967828198
01000091JULIANA MATTOS                00542435966
01000092GUSTAVO RIBEIRO               00434148782
02000093VIVIANE TEIXEIRA              00441097249
01000094ANDRE COSTA                   00953609730
02000095LUIZ FERNANDO                 00219871854
01000096VIVIANE TEIXEIRA              00568447522
01000097ROBERTO MOURA                 00696735353
01000098ANA LIMA                      00039097125
01000099PEDRO HENRIQUE                00750038852
01000100TATIANA ALMEIDA               00645392648
